track_uri,track,artist,artist_popularity,followers,artist_genre,track_popularity,album,playlist,danceability,valence,energy,tempo,loudness,speechiness,instrumentalness,liveness,acousticness,key
6KhT7CK6FL0BnI3nVPqv4F,Over 85,Hojean,55,146562,['chill r&b'],58,Over 85,r&b,0.644,0.477,0.522,99.999,-8.197,0.0273,0,0.122,0.0824,0
09gysnJpfQ3ublBmJDfcEC,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,65,147837,"['afro r&b', 'alternative r&b', 'ghanaian alternative', 'ghanaian pop']",79,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),r&b,0.87,0.319,0.523,110.02,-8.052,0.0602,2.07E-05,0.113,0.433,1
3QyoC6OvQUmpQwQZ18iaTs,Overdrive,Conan Gray,82,7299580,"['bedroom pop', 'pop']",70,Overdrive,r&b,0.568,0.46,0.788,104.959,-6.28,0.0377,0,0.141,0.0101,5
0vq7fkHZl2khMonn5G7d9l,Affluenza,Conan Gray,82,7299580,"['bedroom pop', 'pop']",61,Kid Krow,r&b,0.685,0.863,0.67,117.98,-5.663,0.0393,0,0.179,0.116,11
4JeOesjcWWlprTAvucDSJX,People Watching,Conan Gray,82,7299580,"['bedroom pop', 'pop']",72,People Watching,r&b,0.53,0.538,0.593,125.723,-7.286,0.0545,0,0.314,0.385,5
6GJv5FTWGHWgl4uPdpc6O2,trust (feat. RINI),thuy,64,148624,"['chill r&b', 'indie r&b', 'pop', 'r&b']",50,trust (feat. RINI),r&b,0.762,0.649,0.556,95.025,-7.144,0.0406,0,0.081,0.13,0
3WBRfkOozHEsG0hbrBzwlm,Everything Goes On,Porter Robinson,64,1042112,"['complextro', 'edm', 'future bass', 'melodic dubstep', 'pop dance', 'progressive electro house']",72,Everything Goes On,r&b,0.55,0.323,0.648,156.957,-6.542,0.0309,0,0.0999,0.0191,7
1gdfNi8uXMJNWPvlFRPbUW,dirty dancing,CODY JON,39,10838,[],50,dirty dancing,r&b,0.732,0.517,0.56,148.094,-5.921,0.145,0,0.471,0.0577,0
25kxJg4ykcvM1wphY0yIwt,Green Tea & Honey,Dane Amar,54,21071,"['asian american hip hop', 'chill r&b']",64,East Daygo Popstar,r&b,0.845,0.799,0.241,94.869,-10.948,0.0395,0,0.0722,0.513,2
7h5JV2j5wEwMP2hQE12Nk4,Roses,Finn Askew,45,35389,[],59,Roses,r&b,0.713,0.32,0.595,114.972,-5.519,0.0653,0,0.123,0.592,1
